question,answers,gen_answer,truth
lanark what county,Lanark is in Lanark County.,Lanark County is a county located in the Canadian province of Ontario.,0
what county is vega tx in,Oldham County,"Vega, TX is in Oldham County.",1
chicago illinois is in what county,Cook,Cook County.,1
is canola oil unhealthy,No,"According to the provided context, there is conflicting information about the healthiness of Canola oil. Some sources, such as Katherine Zeratsky, R.D., L.D., state that Canola oil is generally recognized as safe by the Food and Drug Administration and is a healthy choice due to its low levels of erucic acid and high proportion of monounsaturated fat. However, other sources, such as Darleen Bradley, claim that Canola oil is a health hazard and not fit for human consumption. Therefore, it is difficult to make a definitive conclusion about the healthiness of Canola oil.",0
how many game of thrones books are there,Five books.,"According to the provided context, there are currently five published books in the A Song of Ice and Fire series, which is also known as the Game of Thrones series. These books are:

1. A Game of Thrones
2. A Clash of Kings
3. A Storm of Swords
4. A Feast for Crows
5. A Dance with Dragons

Additionally, there are plans for two more novels in the series, which have not been published yet.",1
the iran-contra,The Iran Contra Affair began as an internal U.S. confrontation between Ronald Reagan and the Democratic Congress.,The Iran-Contra Affair was a U.S. political scandal in the 1980s involving the National Security Council (NSC) and secret weapons transactions that violated the stated public policy of the government.,0
what was the inqisitions all about,An organization in the Roman Catholic Church in the past that was responsible for finding and punishing people who did not accept its beliefs and practices.,"The Inquisition was not mentioned in the provided context. The text appears to be discussing the concept of civil disobedience and the difficulty in defining it. Therefore, I cannot provide an answer to this question as it is not relevant to the given context.",0
what is a requirement traceability matrix,It is a document that links requirements throughout the validation process.,A Requirement Traceability Matrix (RTM) is a document that links requirements throughout the validation process. It ensures that all requirements defined for a system are tested in the test protocols and provides bi-directional traceability between various associated requirements.,1
which birth control method reduces the risk of pregnancy and protects from sexually transmitted infections?,The male latex or polyurethane condom and female condom.,Condom.,1
does nerve damage from chemo heal,Yes,Nerve damage from chemotherapy can be permanent and may not heal naturally.,1
uso definition,"It is a nonprofit organization that provides programs, services and live entertainment to United States service members and their families.","USO can have multiple definitions depending on the context. Here are a few:

* United Service Organizations (USO): a nonprofit organization that provides programs, services, and live entertainment to United States service members and their families.
* Unidentified Submerged Object (USO): a term used to describe an underwater object whose nature or origin is unknown.
* Unit Security Officer (USO): a person responsible for ensuring the security of a unit or organization.
* Unix Software Organization (USO): a company that develops and provides Unix-based software solutions.

Please specify the context or provide more information to help me provide a more accurate definition.",1
what is mass multiplied by acceleration,Force,Force.,1
what is concasse,"Concasse is a cooking term meaning to rough chop any ingredient, usually vegetables.","Concasse is a culinary term that refers to the process of peeling and removing the seeds and membranes from tomatoes, typically to prepare them for cooking.",1
harriet beecher stowe birthday,"Harriett Beecher Stowe's birthday is on June 14, 1811.","June 14, 1811",1
define language deprived,"It is associated with the lack of linguistic stimuli that are necessary for the language acquisition processes in an individual, usually in a very impoverished environment.","Language deprivation refers to the lack of linguistic stimuli necessary for language acquisition, often occurring in a very impoverished environment.",1
role clarity definition,Role clarity is what it is that is nursing’s alone to own as well as to define the role of each individual nurse in each domain of practice.,"Role clarity refers to the clear definition and understanding of a role, including its responsibilities, expectations, and scope of practice. It provides a sense of professional identity and enables individuals to understand their role within an organization or team.",1
what does the name cull mean,Killing,"According to the context, the name Cull is derived from Old French origins and means to collect.",0
can deadlifting make your joints sore,"Yes, Knees may be getting sore from deadlifts.","Yes, deadlifting can make your joints sore, especially your knees and lower back. However, proper form and execution can help reduce the risk of injury and soreness.",1
________ is typically formed by metamorphism of a sandstone.,Quartzite,Quartzite.,1
what is the meaning of impairment,"Any loss or abnormality of psychological, physiological or anatomical structure or function.","According to the context, impairment refers to ""any loss or abnormality of psychological, physiological or anatomical structure or function.""",1
what time do spring semesters start,At the end of January.,"According to the context, spring semesters typically start at the end of January.",1
can crl be used on fiberglass,"Yes, crl can be used on fiberglass.","Yes, CLR can be used on fiberglass to remove calcium and lime deposits, surface rust stains, and soap scum.",1
what is  the action of the  trapezius muscle to the scapula,"Moving, rotating, and stabilizing.","The trapezius muscle has several actions on the scapula. It elevates the scapula, which is the primary function of the muscle. Additionally, it also depresses the scapula, which is the action of the lower fibers of the trapezius muscle.",1
oceanic crust is composed primarily of ________.,Basalts,Basalt.,1
cast of hush,"Casts of Hush are Kate Siegel as Maddie,John Gallagher Jr. as Man, Michael Trucco as John, Samantha Sloyan as Sarah,Emilia Graves as Max.","The cast of Hush (2016 film) includes:

* Kate Siegel as Maddie
* John Gallagher Jr. as Man
* Michael Trucco as John
* Samantha Sloyan as Sarah
* Emilia Graves as Max",1
what is the tennessee state tax in nashville,"7% of state sales tax,Depending on local municipalities, the total tax rate can be as high as 9.75%.","According to the provided context, the state sales tax in Tennessee is 7.00%, and Nashville has a local option sales tax of up to 2.75%. Therefore, the total sales tax rate in Nashville is between 8.50% and 9.75%.",1
starting salary of registered nurse,"$28,000-$50,000 per year","According to the context, the starting salary of a Registered Nurse can range from around $28,000-$50,000 per year on average.",1
average pulse rate for male adults,60 to 100 beats a minute.,The average pulse rate for male adults is between 60 to 100 beats per minute.,1
how dissolve pills faster,Some pills are completely water soluble and therefore would dissolve in water faster than other liquids which are a mixture of water with other compounds.,"To dissolve pills faster, you can try the following:

* Use plain cold water
* Avoid taking pills with milk or other food items in your stomach
* Avoid taking pills with hot water
* Consider using a liquid that is specifically designed to help dissolve pills, such as a dissolvable tablet or a liquid that is designed to help break down pills.

It's also important to note that the type of pill and the ingredients used to make it can affect how quickly it dissolves. Some pills are designed to dissolve quickly, while others may take longer.",1
normal high temperatures des moines iowa,75A°,"According to the provided context, the average high temperature in Des Moines, Iowa is:

* January: 34°F (1.7°C)
* February: 39°F (3.9°C)
* March: 52°F (11.1°C)
* April: 64°F (17.8°C)
* May: 73°F (22.8°C)
* June: 84°F (29°C)
* July: 86°F (30°C)
* August: 84°F (29°C)
* September: 74°F (23.3°C)
* October: 63°F (17.2°C)
* November: 51°F (10.6°C)
* December: 37°F (2.8°C)

Please note that these temperatures are based on the 1981-2010 normals.",0
how many calories in fortune cookie,30 calories per one fortune cookie.,"According to the context, one fortune cookie contains 30 calories.",1
what is a signature dish,A signature dish is a dish that is closely identified with a chef or a restaurant and stands out as a prime example of that person's or establishment's cuisine.,A signature dish is a dish that is closely identified with a chef or a restaurant and stands out as a prime example of that person's or establishment's cuisine.,1
another name for joy stick,The control lever of an airplane.,Controller.,0
what does arm wing liposuction cost,"Between $1,500 and $5,000","According to the information provided, arm liposuction prices can run between $1,500 to $5,000, depending on the amount of fat to be removed.",1
"how much does a police officer make in charleston, illinois","$34,000","According to the provided information, the average salary for a police officer in Charleston, SC is $28,000, which is 2% lower than the average salary for police officers nationwide.",0
what is botdf,It was the only track from Blood on the Dance Floor.,"I apologize, but there is no information provided about ""botdf"" in the given context. Could you please provide more context or clarify what ""botdf"" refers to?",0
Which name is also used to describe the Amazon rainforest in English?,"['also known in English as Amazonia or the Amazon Jungle,', 'Amazonia or the Amazon Jungle', 'Amazonia']",The Amazon rainforest is also known in English as Amazonia or the Amazon Jungle.,1
How many square kilometers of rainforest is covered in the basin?,"['5,500,000 square kilometres (2,100,000 sq mi) are covered by the rainforest.', '5,500,000', '5,500,000']","According to the context, 5,500,000 square kilometers (2,100,000 sq mi) of the Amazon basin are covered by the rainforest.",1
How many nations control this region in total?,"['This region includes territory belonging to nine nations.', 'nine', 'nine']",9,1
"How many nations contain ""Amazonas"" in their names?","['States or departments in four nations contain ""Amazonas"" in their names.', 'four', 'four']","According to the context, four nations contain ""Amazonas"" in their names.",1
What percentage does the Amazon represents in rainforests on the planet?,"[""The Amazon represents over half of the planet's remaining rainforests"", 'over half']",The Amazon represents over half of the planet's remaining rainforests.,1
What is the Dutch word for the Amazon rainforest?,"['Amazoneregenwoud', 'Amazoneregenwoud', 'Amazoneregenwoud']","The Dutch word for the Amazon rainforest is ""Amazoneregenwoud"".",1
What rainforest covers the majority of the Amazon basin in South America?,"['The Amazon rainforest', 'Amazon rainforest', 'The Amazon']",The Amazon rainforest covers the majority of the Amazon basin in South America.,1
In what country can most of the Amazon rainforest be found?,"['Brazil', 'Brazil', 'Brazil']",Brazil.,1
The Amazon rainforest makes up what amount of Earth's rainforests?,"['over half', 'over half', 'over half']",The Amazon rainforest represents over half of the planet's remaining rainforests.,1
How many species of trees can be found in the Amazon rainforest?,"['16,000', '16,000', '16,000']","According to the context, there are 16,000 species of trees in the Amazon rainforest.",1
What kind of forest is the Amazon rainforest?,"['moist broadleaf forest', 'moist broadleaf forest', 'tropical']",The Amazon rainforest is a moist broadleaf forest.,1
How many square kilometers is the Amazon Basin?,"['7,000,000 square kilometres (2,70', '7,000,000', '7,000,000 square kilometres']","The Amazon Basin is approximately 7,000,000 square kilometers (2,700,000 sq mi).",1
How many nations are within the Amazon Basin?,"['nine nations', 'nine', 'nine']",Nine nations.,1
Which nation contains the majority of the amazon forest?,"['Brazil', 'Brazil', 'Brazil']",Brazil.,1
Which Florida city has the biggest population?,"['Jacksonville', 'Jacksonville', 'Jacksonville']",Jacksonville.,1
What was the population Jacksonville city as of 2010?,"['1,345,596', '1,345,596', '1,345,596']","1,345,596",1
"Based on population alone, what is Jacksonville's ranking in the United States?","['12th', '12th', '12th']","According to the context, Jacksonville is the 12th most populous city in the United States.",1
In which county does Jacksonville reside?,"['Duval', 'Duval County', 'Duval County']",Duval County,1
What year did consolidation cause Jacksonville to become part of Duval County?,"['1968', '1968', '1968']",1968,1
When did the 1973 oil crisis begin?,"['October 1973', 'October 1973', 'October 1973', 'October', '1973']",October 1973.,1
What was the price of oil in March of 1974?,"['nearly $12', '$12', '$12', '$12', '$12']","According to the context, the price of oil had risen to nearly $12 per barrel by the end of the embargo in March 1974.",1
When was the second oil crisis?,"['1979', '1979', '1979', '1979', '1979']","The second oil crisis, also known as the ""second oil shock"", occurred in 1979.",1
What was another term used for the oil crisis?,"['first oil shock', 'shock', 'shock', 'first oil shock', 'shock']","The oil crisis was also referred to as the ""first oil shock"", followed by the 1979 oil crisis, termed the ""second oil shock"".",1
Who proclaimed the oil embargo?,"['members of the Organization of Arab Petroleum Exporting Countries', 'members of the Organization of Arab Petroleum Exporting Countries', 'Organization of Arab Petroleum Exporting Countries', 'members of the Organization of Arab Petroleum Exporting Countries', 'OAPEC']","The members of the Organization of Arab Petroleum Exporting Countries (OAPEC), consisting of the Arab members of OPEC plus Egypt and Syria, proclaimed the oil embargo.",1
Who provides the bill of quantities?,"['a quantity surveyor', 'quantity surveyor', 'quantity surveyor']",The contractor provides the bill of quantities.,1
The owner typically awards a contract to who?,"['the most cost efficient bidder', 'the most cost efficient bidder', 'most cost efficient bidder']",The owner typically awards a contract to the most cost-efficient bidder.,1
What process do moderate and reformist Islamists work within the boundaries of?,"['democratic', 'democratic process', 'democratic']","According to the context, moderate and reformist Islamists work within the democratic process.",1
What is Southern California often abbreviated as?,"['SoCal', 'SoCal', 'SoCal']",SoCal.,1
"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?","['10 counties', '10', '10']","According to the context, Southern California is actually described as having 10 counties, including Kern and San Luis Obispo counties, in addition to the traditional ""eight counties"" of Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura.",1
What is a major importance of Southern California in relation to California and the United States?,"['economic center', 'major economic center', 'economic center']",A major economic center for the state of California and the United States.,1
"What are the ties that best described what the ""eight counties"" are based on?","['demographics and economic ties', 'economic', 'demographics and economic']",Historical political divisions.,0
The reasons for the las two counties to be added are based on what?,"['historical political divisions', 'historical political divisions', 'historical political divisions']",Historical political divisions.,1
Who is the chair of the IPCC?,"['Hoesung Lee', 'Hoesung Lee', 'Hoesung Lee']",Korean economist Hoesung Lee.,
What nationality is Hoesung Lee?,"['Korean', 'onomist', 'Korean']","I'm happy to help! Based on the provided context, I couldn't find any information about Hoesung Lee's nationality. Could you please provide more context or clarify who Hoesung Lee is?",0
Who is the vice-chair of the IPCC?,"['Ismail El Gizouli', 'Ismail El Gizouli', 'Ismail El Gizouli']","According to the context, Ismail El Gizouli was the vice-chair of the IPCC before Hoesung Lee took over as the chair.",1
Who was the first chair of the IPCC?,"['Bert Bolin', 'Bert Bolin', 'Bert Bolin']","Unfortunately, the provided context does not mention the first chair of the IPCC. The context only discusses the composition of the IPCC Panel and the attendance at a meeting in 2003, but it does not provide information about the chair of the IPCC.",0
When did Pachauri resign as chair of the IPCC?,"['February 2015', 'February 2015', 'February 2015']",Feb-15,1
What is a mechanical barrier in insects that protects the insect?,"['exoskeleton', 'exoskeleton', 'exoskeleton']",The exoskeleton of insects is a mechanical barrier that protects the insect.,1
Who is on the IPCC Panel?,"['representatives appointed by governments and organizations', 'representatives appointed by governments and organizations', 'representatives appointed by governments and organizations']","Representatives appointed by governments and organizations, as well as delegates with appropriate expertise, are on the IPCC Panel.",1
How many people attended the 2003 IPCC meeting?,"['350', '350', '350']","According to the text, 350 government officials and climate change experts attended the 2003 meeting.",1
How much of the IPCC attendees are government representatives?,"['about seven-eighths', 'seven-eighths', 'about seven-eighths']","About seven-eighths of the participants, which is approximately 7/8 or 0.875, were from governmental organizations.",1
"In a computational problem, what can be described as a string over an alphabet?","['problem instance', 'a problem instance', 'problem instance']",A problem instance can be described as a string over an alphabet.,1
What is the name of the alphabet is most commonly used in a problem instance?,"['binary alphabet', 'binary', 'binary']","The binary alphabet, which is the set {0,1}.",1
What is another term for the string of a problem instance?,"['bitstrings', 'bitstrings', 'bitstrings']",A bitstring.,1
"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?","['binary notation', 'binary notation', 'binary notation']","In the encoding of mathematical objects, integers are commonly expressed in binary notation.",1
What is one way in which graphs can be encoded? ,"['adjacency matrices', 'directly via their adjacency matrices']",One way to encode graphs is by using their adjacency matrices in binary.,1
Who wrote that it is difficult to produce an all inclusive definition of civil disobedience?,"['LeGrande', 'LeGrande', 'LeGrande', 'LeGrande', 'LeGrande']","LeGrande wrote that it is extremely difficult, if not impossible, to formulate a single all-encompassing definition of the term ""civil disobedience"".",1
Le Grande also wrote that defining the term civil disobedience so difficult it could be described as? ,"['impossible', 'a maze of semantical problems and grammatical niceties', 'impossible', 'impossible']","""extremely difficult, if not impossible"".",1
Le grand asks for a variance of what three terms?,"['lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience', 'lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience']","LeGrande asks for a variance of definitions of the term ""civil disobedience"".",1
Le grand states that students studying civil disobedience will often run into grammatical niceties and what other problem? ,"['semantical', 'semantical', 'a maze of semantical problems', 'semantical', 'semantical problems']",semantical problems,1
Le grand concludes that an author's words offer only what they intended for them to imply regarding this type of terminology?,"['specific', 'civil disobedience', 'specific', 'specific']","According to LeGrande, an author's words offer only what they intend for them to imply regarding the terminology of civil disobedience, meaning that the meaning is subjective and dependent on the individual orator's intention.",1
Who said that writing a good description of civil disobedience is hard?,"['LeGrande', 'LeGrande', 'LeGrande', 'LeGrande', 'LeGrande']",LeGrande.,1
How much literature has been written regarding civil disobedience?,"['voluminous literature', 'voluminous', 'voluminous', 'voluminous']","According to the text, the literature on civil disobedience is ""voluminous"".",1
What issue plagues the literature about civil disobedience?,"['semantical problems and grammatical niceties', 'maze of semantical problems and grammatical niceties', 'semantical problems and grammatical niceties', 'semantical problems and grammatical niceties']","According to LeGrande, the issue plaguing the literature about civil disobedience is the difficulty in formulating a single, all-encompassing definition of the term due to semantical problems and grammatical niceties.",1
What type of protest falls under civil disobedience without aggression?,"['nonviolent civil disobedience', 'nonviolent civil disobedience', 'nonviolent', 'nonviolent', 'nonviolent']",Nonviolent civil disobedience.,1
What type of civil disobedience is accompanied by aggression?,"['violent civil disobedience', 'violent civil disobedience', 'violent', 'violent', 'violent']","According to the text, violent civil disobedience is accompanied by aggression.",1
What president eliminated the Christian position in the curriculum?,"['Charles W. Eliot', 'Charles W. Eliot', 'Charles W. Eliot']","Charles W. Eliot, president from 1869-1909, eliminated the favored position of Christianity from the curriculum.",1
What conviction motivated Eliot to move towards secularization?,"['Transcendentalist Unitarian', 'Transcendentalist Unitarian', 'Transcendentalist Unitarian']","Transcendentalist Unitarian convictions, specifically the dignity and worth of human nature, the right and ability of each person to perceive truth, and the indwelling God in each person.",1
From whom were the movement that Eliot followed derived?,"['William Ellery Channing and Ralph Waldo Emerson', 'William Ellery Channing and Ralph Waldo Emerson', 'William Ellery Channing and Ralph Waldo Emerson']",The movement that Ellie followed was derived from William Ellery Channing and Ralph Waldo Emerson.,1
Vice President Agnew describes Civil disobedience in what activities?,"['muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'civil disobedience', 'muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins', 'activities of muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins']","Vice President Agnew describes civil disobedience in activities such as muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents, and political assassins.",1
Civil disobedience has been argued in more recent times to have suffered from what?,"['ambiguity', 'debased', 'ambiguity', 'ambiguity', 'ambiguity']",Ambiguity.,1
What person argues that civil disobedience is used to describe everything?,"['Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen', 'Marshall Cohen']",Marshall Cohen.,1
"In modern times, what is said about civil disobedience?","['become utterly debased', 'utterly debased', 'in modern times, become utterly debased', 'become utterly debased', 'become utterly debased']","According to the text, in modern times, the term ""civil disobedience"" has become utterly debased and has been used to describe a wide range of actions, making it difficult to define.",1
Who gave a negative connotation to civil disobedience in recent history?,"['Vice President Agnew', 'Vice President Agnew', 'Vice President Agnew', 'Vice President Agnew', 'Marshall Cohen']","According to the context, Marshall Cohen is the one who notes that the term ""civil disobedience"" has been used to describe everything from bringing a test-case in the federal courts to taking aim at a federal official, giving a negative connotation to the term in recent history.",1
